Tres Olivos;23:02;23:17;23:32;23:47;0:02;0:17;0:32;0:47;1:02;1:17;1:33
Fuencarral;23:03;23:18;23:33;23:48;0:03;0:18;0:33;0:48;1:03;1:18;1:34
Begoña;23:05;23:20;23:35;23:50;0:05;0:20;0:35;0:50;1:05;1:20;1:36
Chamartin;23:08;23:23;23:38;23:53;0:08;0:23;0:38;0:53;1:08;1:23;1:38
Plaza de Castilla;23:10;23:25;23:40;23:55;0:10;0:25;0:40;0:55;1:10;1:25;1:40
Cuzco;23:11;23:26;23:41;23:56;0:11;0:26;0:41;0:56;1:11;1:26;1:42
Santiago Bernabeu;23:13;23:28;23:43;23:58;0:13;0:28;0:43;0:58;1:13;1:28;1:43
Nuevos Ministerios;23:14;23:29;23:44;23:59;0:14;0:29;0:44;0:59;1:14;1:29;1:45
Gregorio Marañon;23:16;23:31;23:46;0:01;0:16;0:31;0:46;1:01;1:16;1:31;1:46
Alonso Martinez;23:18;23:33;23:48;0:03;0:18;0:33;0:48;1:03;1:18;1:33;1:48
Tribunal;23:19;23:34;23:49;0:04;0:19;0:34;0:49;1:04;1:19;1:34;1:50
Plaza de España;23:21;23:36;23:51;0:06;0:21;0:36;0:51;1:06;1:21;1:36;1:51
Principe Pio;23:24;23:39;23:54;0:09;0:24;0:39;0:54;1:09;1:24;1:39;1:54
Lago;23:26;23:41;23:56;0:11;0:26;0:41;0:56;1:11;1:26;1:41;1:56
Batan;23:29;23:44;23:59;0:14;0:29;0:44;0:59;1:14;1:29;1:44;1:59
Casa de Campo;23:30;23:45;0:00;0:15;0:30;0:45;1:00;1:15;1:30;1:45;2:01
Colonia Jardin;23:32;23:47;0:02;0:17;0:32;0:47;1:02;1:17;1:32;1:47;2:03
Aviacion Española;23:35;23:50;0:05;0:20;0:35;0:50;1:05;1:20;1:35;1:50;2:05
Cuatro Vientos;23:37;23:52;0:07;0:22;0:37;0:52;1:07;1:22;1:37;1:52;2:07
Joaquin Vilumbrales;23:40;23:55;0:10;0:25;0:40;0:55;1:10;1:25;1:40;1:55;2:10
Puerta del Sur;23:42;23:57;0:12;0:27;0:42;0:57;1:12;1:27;1:42;1:57;2:12
