Hospital Infanta Sofia;22:08;22:18;22:28;22:38;22:48;22:58;23:08;23:23;23:38;23:53;0:08;0:23;0:38;0:53;1:08;1:33
Reyes Catolicos;22:11;22:21;22:31;22:41;22:51;23:01;23:11;23:26;23:41;23:56;0:11;0:26;0:41;0:56;1:11;1:35
Baunatal;22:12;22:22;22:32;22:42;22:52;23:02;23:12;23:27;23:42;23:57;0:12;0:27;0:42;0:57;1:12;1:37
Manuel de Falla;22:14;22:24;22:34;22:44;22:54;23:04;23:14;23:29;23:44;23:59;0:14;0:29;0:44;0:59;1:14;1:38
Marques de la Valdavia;22:16;22:26;22:36;22:46;22:56;23:06;23:16;23:31;23:46;0:01;0:16;0:31;0:46;1:01;1:16;1:40
La Moraleja;22:18;22:28;22:38;22:48;22:58;23:08;23:18;23:33;23:48;0:03;0:18;0:33;0:48;1:03;1:18;1:42
La Granja;22:21;22:31;22:41;22:51;23:01;23:11;23:21;23:36;23:51;0:06;0:21;0:36;0:51;1:06;1:21;1:45
Ronda de la Comunicacion;22:22;22:32;22:42;22:52;23:02;23:12;23:22;23:37;23:52;0:07;0:22;0:37;0:52;1:07;1:22;1:47
Las Tablas;22:24;22:34;22:44;22:54;23:04;23:14;23:24;23:39;23:54;0:09;0:24;0:39;0:54;1:09;1:24;1:48
Montecarmelo;22:28;22:38;22:48;22:58;23:08;23:18;23:28;23:43;23:58;0:13;0:28;0:43;0:58;1:13;1:28;1:52
Tres Olivos;22:29;22:39;22:49;22:59;23:09;23:19;23:29;23:44;23:59;0:14;0:29;0:44;0:59;1:14;1:29;1:53
