Tres Olivos;22:01;22:11;22:21;22:31;22:41;22:51;23:01;23:16;23:31;23:46;0:01;0:16;0:31;0:46;1:01;1:16;1:33
Montecarmelo;22:03;22:13;22:23;22:33;22:43;22:53;23:03;23:18;23:33;23:48;0:03;0:18;0:33;0:48;1:03;1:18;1:35
Las Tablas;22:07;22:17;22:27;22:37;22:47;22:57;23:07;23:22;23:37;23:52;0:07;0:22;0:37;0:52;1:07;1:22;1:38
Ronda de la Comunicacion;22:08;22:18;22:28;22:38;22:48;22:58;23:08;23:23;23:38;23:53;0:08;0:23;0:38;0:53;1:08;1:23;1:40
La Granja;22:10;22:20;22:30;22:40;22:50;23:00;23:10;23:25;23:40;23:55;0:10;0:25;0:40;0:55;1:10;1:25;1:42
La Moraleja;22:12;22:22;22:32;22:42;22:52;23:02;23:12;23:27;23:42;23:57;0:12;0:27;0:42;0:57;1:12;1:27;1:44
Marques de la Valdavia;22:14;22:24;22:34;22:44;22:54;23:04;23:14;23:29;23:44;23:59;0:14;0:29;0:44;0:59;1:14;1:29;1:46
Manuel de Falla;22:17;22:27;22:37;22:47;22:57;23:07;23:17;23:32;23:47;0:02;0:17;0:32;0:47;1:02;1:17;1:32;1:48
Baunatal;22:18;22:28;22:38;22:48;22:58;23:08;23:18;23:33;23:48;0:03;0:18;0:33;0:48;1:03;1:18;1:33;1:50
Reyes Catolicos;22:20;22:30;22:40;22:50;23:00;23:10;23:20;23:35;23:50;0:05;0:20;0:35;0:50;1:05;1:20;1:35;1:51
Hospital Infanta Sofia;22:22;22:32;22:42;22:52;23:02;23:12;23:22;23:37;23:52;0:07;0:22;0:37;0:52;1:07;1:22;1:37;1:53
